hthg,htag,hs,hst,ast,hr,ar,result,index
0,0,24,8,2,0,0,1,235
0,0,20,1,4,0,0,-1,236
0,2,11,1,4,0,0,-1,237
0,0,7,0,3,0,0,-1,238
0,0,29,8,1,0,0,1,239
0,0,19,11,0,0,0,1,240
1,1,21,4,5,0,0,-1,241
0,2,16,6,9,0,0,-1,242
1,1,11,3,7,0,0,1,243
0,0,15,4,2,0,0,1,244
1,2,8,1,5,0,0,-1,245
3,0,23,15,2,0,0,1,246
0,1,26,5,2,0,0,1,247
1,0,27,9,1,0,0,1,248
0,3,19,3,11,0,0,-1,249
0,2,6,1,11,1,0,-1,250
1,0,11,4,1,0,0,0,251
0,0,22,3,2,0,0,0,252
0,1,12,1,4,0,0,-1,253
0,0,6,2,8,0,0,-1,254
0,0,13,4,1,0,0,1,255
0,0,9,2,6,0,0,-1,256
0,0,7,4,4,0,0,1,257
2,0,14,9,1,0,0,1,258
0,0,6,1,5,0,0,-1,259
2,0,10,4,4,0,0,1,260
0,1,15,7,6,0,0,-1,261
0,2,12,5,8,0,0,-1,262
1,0,22,5,5,0,0,1,263
1,2,13,7,4,0,0,-1,264
2,1,24,10,2,0,0,1,265
3,0,14,7,0,0,0,1,266
0,2,9,3,7,0,0,-1,267
1,1,14,5,4,0,0,-1,268
2,0,10,5,0,0,0,1,269
0,1,4,1,9,0,0,-1,270
0,1,8,3,9,0,0,-1,271
0,0,13,4,1,0,1,1,272
2,1,10,6,3,0,0,1,273
0,0,8,3,2,0,0,1,274
0,0,8,2,3,1,0,-1,275
1,0,13,7,4,0,0,1,276
1,2,13,7,5,0,0,-1,277
0,0,11,4,7,0,0,1,278
1,0,21,8,3,0,0,1,279
0,0,7,1,4,0,0,0,280
0,1,15,0,7,0,0,-1,281
0,0,9,2,3,0,0,-1,282
0,0,9,3,6,1,0,1,283
2,0,14,8,6,1,0,-1,284
0,1,8,1,3,0,0,-1,285
2,0,12,4,6,0,0,1,286
2,1,17,4,1,0,0,1,287
1,0,20,3,2,0,0,1,288
0,0,31,4,0,0,0,0,289
0,2,3,1,6,0,0,-1,290
0,0,21,8,6,0,0,-1,291
1,0,12,3,6,0,0,0,292
2,0,11,5,5,0,0,1,293
0,0,11,5,3,0,0,0,294
1,0,11,5,2,0,1,1,295
1,1,19,6,1,0,0,1,296
2,0,6,5,3,0,0,1,297
1,2,13,4,4,0,0,1,298
0,0,12,4,2,0,0,1,299
1,0,7,3,4,0,0,1,300
0,1,20,4,3,0,0,-1,301
0,4,4,1,14,0,0,-1,302
0,1,8,1,5,0,0,-1,303
0,1,9,8,5,0,0,-1,304
0,0,15,7,1,0,0,1,305
2,0,12,3,3,0,0,1,306
1,0,17,6,4,0,0,1,307
2,1,11,5,4,0,0,0,308
0,0,5,0,5,0,0,-1,309
2,1,20,9,4,0,0,1,310
1,0,9,3,6,0,0,1,311
0,1,17,4,5,0,0,-1,312
1,1,16,7,2,0,0,1,313
0,1,21,8,1,0,0,0,314
2,0,14,5,1,0,0,1,315
2,2,11,2,4,0,0,-1,316
0,1,13,3,3,0,0,0,317
1,0,13,4,2,0,0,1,318
0,0,17,5,1,0,0,1,319
2,0,16,6,3,0,0,1,320
2,1,14,7,5,0,0,1,321
0,0,5,2,3,0,0,0,322
3,1,21,8,2,0,0,1,323
0,2,5,2,7,0,0,-1,324
0,0,15,2,0,0,0,0,325
2,1,8,5,5,0,0,0,326
0,0,14,5,4,0,0,1,327
0,0,26,5,2,0,1,1,328
0,0,18,4,1,0,0,1,329
0,0,17,7,2,0,0,0,330
0,0,6,3,6,0,0,0,331
0,1,4,2,10,0,0,-1,332
1,0,21,6,3,0,0,1,333
1,0,8,3,5,0,0,-1,334
1,0,13,1,6,0,0,-1,335
0,1,11,1,9,0,0,-1,336
0,1,7,2,6,0,0,-1,337
0,0,9,4,5,0,0,1,338
1,0,13,7,2,0,0,1,339
1,1,8,3,7,0,0,-1,340
1,0,9,5,4,0,0,1,341
2,0,18,5,4,0,0,1,342
0,2,14,6,7,0,0,-1,343
0,0,19,6,4,0,0,0,344
1,0,15,7,1,0,1,1,345
1,0,17,6,5,0,0,1,346
0,0,22,3,3,0,0,0,347
2,0,19,9,2,0,1,1,348
1,2,16,9,4,0,0,-1,349
0,3,8,2,5,0,0,-1,350
2,0,21,9,3,0,0,1,351
1,1,9,4,6,0,0,-1,352
0,1,5,0,4,1,0,-1,353
0,0,20,8,5,0,0,1,354
0,0,6,0,5,0,0,0,355
1,3,7,3,5,0,0,-1,356
2,0,16,6,4,0,1,1,357
1,0,21,8,1,0,0,1,358
0,0,13,4,4,0,0,0,359
0,1,19,5,6,0,0,0,360
1,2,13,5,7,0,0,-1,361
2,0,6,2,8,0,0,0,362
0,1,17,4,2,0,0,0,363
2,1,10,5,7,2,0,-1,364
0,0,16,4,2,0,0,1,365
1,1,4,2,5,0,0,-1,366
0,2,12,6,5,0,0,1,367
0,1,22,9,5,0,1,0,368
1,1,20,7,1,0,0,0,369
2,1,26,9,2,0,0,1,370
0,0,14,5,6,1,0,-1,371
0,1,18,7,2,0,0,1,372
0,1,12,5,6,0,0,-1,373
1,0,19,8,3,0,0,1,374
1,0,6,3,4,0,0,1,375
0,0,12,6,2,0,0,1,376
1,1,29,8,5,0,0,1,377
0,1,24,5,2,0,0,1,378
0,2,9,0,13,0,0,-1,379
0,1,5,2,6,0,0,-1,380
1,0,5,3,5,0,0,1,381
3,2,22,6,3,0,0,1,382
0,0,15,3,2,0,0,-1,383
0,0,7,1,7,0,0,-1,384
0,0,9,5,4,0,0,-1,385
0,1,13,3,5,0,0,-1,386
0,2,9,2,4,0,0,-1,387
2,1,17,7,4,0,1,1,388
2,1,10,7,6,0,0,1,389
0,1,13,4,5,0,0,-1,390
1,1,7,3,3,0,0,1,391
1,1,14,7,6,0,0,-1,392
0,2,6,0,6,0,1,-1,393
0,0,5,3,6,1,0,-1,394
1,1,14,6,5,0,0,1,395
0,0,18,2,1,0,1,1,396
0,2,10,1,9,0,0,-1,397
1,1,18,5,3,0,0,-1,398
1,2,8,1,5,0,0,-1,399
3,0,9,3,10,0,0,0,400
0,1,10,2,1,0,0,-1,401
0,0,14,4,9,0,0,-1,402
1,0,23,12,1,0,0,0,403
1,1,16,5,7,0,0,-1,404
1,0,15,7,2,0,0,1,405
0,2,16,3,5,0,0,-1,406
2,1,21,8,3,0,0,1,407
0,0,17,6,0,0,0,1,408
2,1,11,6,3,0,0,1,409
0,1,12,7,2,0,0,0,410
1,0,10,5,3,0,0,1,411
0,2,4,0,6,0,0,-1,412
1,0,13,7,2,0,0,1,413
0,0,6,5,2,0,0,1,414
0,0,14,5,2,0,0,1,415
1,4,5,2,8,1,0,-1,416
4,1,18,11,8,0,0,1,417
1,1,11,5,8,1,0,0,418
2,1,11,5,6,0,0,0,419
1,0,13,5,3,0,0,1,420
1,1,7,4,14,0,0,-1,421
0,0,10,6,6,0,0,0,422
1,0,1,1,3,0,1,0,423
3,0,11,6,4,0,0,0,424
0,0,11,5,4,0,0,-1,425
0,0,13,6,4,0,0,0,426
0,0,13,2,3,0,0,-1,427
0,0,12,4,9,0,0,-1,428
1,0,6,2,7,0,0,0,429
0,1,16,3,10,1,0,-1,430
0,0,14,4,1,0,0,0,431
1,1,17,5,2,0,0,1,432
2,0,12,6,2,0,1,1,433
0,0,16,3,2,0,0,0,434
0,0,12,4,2,0,0,-1,435
1,0,5,3,3,0,0,0,436
0,0,13,4,3,0,0,-1,437
2,0,15,5,2,0,1,1,438
0,1,5,1,8,0,0,-1,439
0,1,5,0,9,0,0,-1,440
1,1,9,5,3,0,0,1,441
0,3,19,10,4,0,0,-1,442
0,0,11,4,4,0,0,1,443
0,0,8,2,2,0,0,-1,444
1,0,9,3,2,0,0,1,445
2,0,13,6,1,0,0,1,446
0,2,11,4,8,0,0,-1,447
0,0,19,3,1,0,0,0,448
1,0,15,8,2,0,0,1,449
1,2,7,1,5,0,0,-1,450
3,1,10,6,3,0,0,1,451
2,1,20,9,3,0,0,1,452
0,0,16,7,3,0,0,1,453
0,0,12,2,5,0,0,-1,454
1,0,10,3,2,0,0,1,455
1,1,7,2,3,0,0,0,456
0,1,13,2,6,0,0,-1,457
0,1,8,1,3,0,0,-1,458
0,1,15,4,3,0,1,-1,459
1,0,4,2,5,0,0,1,460
0,0,17,7,2,0,0,1,461
1,3,14,6,7,0,0,-1,462
0,0,9,5,3,0,0,-1,463
0,0,25,4,2,0,1,0,464
2,0,24,13,4,0,0,1,465
